GPS_Code,af_name,latitude,longitude,runway_length,freq_count,airline_count,surface
YBAU,Badu Island Airport,-10.14999962,142.1734009,2788,4,0,2
YHID,Horn Island Airport,-10.58640003,142.2899933,8609,3,0,3
YKUB,Kubin Airport,-10.22500038,142.2180023,3281,2,0,2
YSNF,Norfolk Island International Airport,-29.04159927,167.9389954,11106,4,4,3
NFNL,Labasa Airport,-16.4666996,179.3399963,3521,2,0,3
NFNM,Matei Airport,-16.69059944,-179.8769989,3281,1,0,3
NFFN,Nadi International Airport,-17.7553997,177.4429932,17746,10,15,3
NFNA,Nausori International Airport,-18.04330063,178.5590057,6129,7,0,3
NFNR,Rotuma Airport,-12.48250008,177.0709991,4806,0,0,3
NTHE,Ahe Airport,-14.42809963,-146.2570038,4068,1,0,3
NTGA,Anaa Airport,-17.3526001,-145.5099945,4921,2,0,3
NTKK,Aratika Nord Airport,-15.48530006,-145.4700012,4150,0,0,3
NTGU,Arutua Airport,-15.2482996,-146.6170044,4268,1,0,3
NTTB,Bora Bora Airport,-16.44440079,-151.7510071,7921,3,0,3
NTAA,Faa'a International Airport,-17.55369949,-149.6069946,11360,6,11,3
NTKF,Faaite Airport,-16.68670082,-145.3289948,3890,0,0,3
NTGF,Fakarava Airport,-16.05410004,-145.6569977,3871,2,0,3
NTGB,Fangatau Airport,-15.81989956,-140.8869934,3936,1,0,3
NTTO,Hao Airport,-18.07480049,-140.9459991,11089,2,0,3
NTMN,Hiva Oa-Atuona Airport,-9.768790245,-139.0110016,3986,4,0,3
NTTH,Huahine-Fare Airport,-16.68720055,-151.0220032,4921,5,0,3
NTGK,Kaukura Airport,-15.66329956,-146.8849945,3543,1,0,3
NTGM,Makemo Airport,-16.58390045,-143.6580048,4920,2,0,3
NTGI,Manihi Airport,-14.4368,-146.0700073,3051,2,0,3
NTGS,Marutea Airport,-21.4821949,-135.6370544,4250,0,0,3
NTGV,Mataiva Airport,-14.86810017,-148.7169952,3937,1,0,3
NTTP,Maupiti Airport,-16.42650032,-152.2440033,3135,3,0,3
NTTM,Moorea Airport,-17.48999977,-149.7619934,3871,4,0,3
NTMD,Nuku Hiva Airport,-8.795599937,-140.2290039,5578,2,0,3
NTGP,Puka Puka Airport,-14.80949974,-138.8130035,3051,0,0,3
NTTR,Raiatea Airport,-16.72290039,-151.4660034,4593,3,0,3
NTAV,Raivavae Airport,-23.8852005,-147.6620026,4592,1,0,3
NTTG,Rangiroa Airport,-14.95429993,-147.6609955,6890,8,0,3
NTGE,Reao Airport,-18.46590042,-136.4400024,3008,1,0,3
NTAR,Rurutu Airport,-22.4340992,-151.3609924,4757,2,0,3
NTGT,Takapoto Airport,-14.70950031,-145.2460022,3018,2,0,3
NTKR,Takaroa Airport,-14.45580006,-145.0249939,3452,1,0,3
NTGC,Tikehau Airport,-15.1196003,-148.2310028,3937,1,0,3
NTGJ,Totegegie Airport,-23.07990074,-134.8899994,6562,2,0,3
NTAT,Tubuai Airport,-23.36540031,-149.5240021,4921,2,0,3
NTGY,Tureia Airport,-20.78969955,-138.5700073,2949,0,0,3
NWWX,Canala Airport,-21.52020073,165.9720001,3135,0,0,3
NWWE,Île des Pins Airport,-22.58889961,167.4559937,3608,5,2,3
NWWD,Koné Airport,-21.05430031,164.8370056,3281,2,2,3
NWWK,Koumac Airport,-20.54630089,164.2559967,3616,2,2,3
NWWW,La Tontouta International Airport,-22.01460075,166.2129974,10663,9,6,3
NWWL,Lifou Airport,-20.77479935,167.2400055,3609,5,2,3
NWWR,Maré Airport,-21.4817009,168.0379944,3281,3,2,3
NWWM,Nouméa Magenta Airport,-22.25830078,166.4730072,4101,7,2,3
NWWV,Ouvéa Airport,-20.6406002,166.572998,3609,3,2,3
NWWU,Touho Airport,-20.79000092,165.2590027,3609,3,2,3
NLWW,Hihifo Airport,-13.23830032,-176.1990051,6890,5,0,3
NLWF,Pointe Vele Airport,-14.31140041,-178.0659943,3609,1,0,3
WAMH,Naha Airport,3.683209896,125.5279999,3597,2,0,3
WION,Ranai Airport,3.908710003,108.3880005,8410,2,0,3
WIOM,Tarempa Airport,3.348119974,106.2580032,3905,3,0,3
RORA,Aguni Airport,26.59250069,127.2409973,2625,1,0,3
RJKA,Amami Airport,28.43059921,129.7129974,6560,5,2,3
RORH,Hateruma Airport,24.05890083,123.8059998,2625,1,0,3
RORE,Ie Jima Airport,26.72200012,127.7850037,9881,0,0,3
RODE,Ie Shima Auxiliary Air Base,26.7257576,127.7649002,5980,2,0,3
ROIG,Ishigaki Airport,24.34449959,124.1869965,4920,2,2,3
RJAW,Iwo Jima Airport,24.7840004,141.322998,8700,5,0,3
RJKI,Kikai Airport,28.32130051,129.9279938,4307,2,0,3
RORK,Kitadaito Airport,25.94470024,131.3269958,4921,2,0,3
ROKJ,Kumejima Airport,26.3635006,126.7139969,6562,3,0,3
ROMD,Minami Daito Airport,25.8465004,131.2630005,4921,3,0,3
RJAM,Minami Torishima Airport,24.28969955,153.9790039,4500,3,0,3
ROMY,Miyako Airport,24.78280067,125.2949982,6560,4,3,3
ROAH,Naha Airport,26.19580078,127.6460037,9840,7,21,3
RJKB,Okierabu Airport,27.42550087,128.701004,4430,4,0,3
RORS,Shimojishima Airport,24.82670021,125.1449966,9842,5,0,3
RORT,Tarama Airport,24.65390015,124.6750031,4921,2,0,3
RJKN,Tokunoshima Airport,27.83639908,128.8809967,6561,2,0,3
ROYN,Yonaguni Airport,24.46689987,122.9779968,4920,2,0,3
RORY,Yoron Airport,27.04400063,128.4019928,4340,2,0,3
NGTA,Bonriki International Airport,1.381639957,173.1470032,6598,5,0,3
PCIS,Canton Airport,-2.76812005,-171.7100067,6230,0,0,3
PLCH,Cassidy International Airport,1.98616004,-157.3500061,6900,3,2,3
NGTE,Tabiteuea North Airport,-1.224470019,174.776001,3365,1,0,2
PKWA,Bucholz Army Air Field,8.72012043,167.7319946,6668,5,5,3
