ID,latitude,longitude,runway_L,freq_count,airline_count,surface
RCYU,24.0230999,121.6179962,27049,7,2,3
RODN,26.35560036,127.7679977,24200,11,0,3
RCTP,25.07769966,121.2330017,22999,7,49,3
PGUA,13.58399963,144.9299927,21743,11,0,3
RPLC,15.18599987,120.5599976,20998,7,7,3
RCNN,22.9503994,120.2060013,20014,6,0,3
RPLL,14.50860023,121.0199966,19669,10,44,3
PHJR,21.30739975,-158.0700073,18500,6,0,3
PGUM,13.48340034,144.7960052,18016,9,14,3
NFFN,-17.7553997,177.4429932,17746,10,15,3
AYPY,-9.443380356,147.2200012,15799,8,7,3
RCAY,22.78249931,120.2630005,15454,2,0,3
PHTO,19.72139931,-155.0480042,15400,8,6,3
RCKU,23.46179962,120.3929977,15314,5,0,3
NSTU,-14.33100033,-170.7100067,13800,6,0,3
NFTF,-21.24119949,-175.1499939,13746,7,6,3
PHLI,21.97599983,-159.3390045,13000,7,12,3
RCMQ,24.26469994,120.6210022,12000,4,11,3
PHOG,20.89859962,-156.4299927,11985,10,15,3
RCPO,24.81800079,120.939003,11955,4,0,3
NVVV,-17.69930077,168.3200073,11840,7,10,3
NTAA,-17.55369949,-149.6069946,11360,6,11,3
YSNF,-29.04159927,167.9389954,11106,4,4,3
NTTO,-18.07480049,-140.9459991,11089,2,0,3
RCQS,22.79310036,121.1819992,11055,4,0,3
PHKO,19.73880005,-156.0460052,11000,7,15,3
RPVM,10.30749989,123.9789963,10827,11,16,3
AYMH,-5.826789856,144.2960052,10784,3,2,3
NWWW,-22.01460075,166.2129974,10663,9,6,3
RPMR,6.058000088,125.0960007,10587,5,0,3
NCAI,-18.83090019,-159.7640076,10475,2,2,3
RCKH,22.57710075,120.3499985,10335,6,13,3
RCGM,25.05660057,121.2442627,10044,1,0,3
RORE,26.72200012,127.7850037,9881,0,0,3
RCBS,24.42790031,118.3590012,9865,4,4,3
NSFA,-13.82999992,-172.0079956,9843,11,7,3
RCQC,23.56870079,119.6279984,9843,7,4,3
TW-0001,23.51799965,119.5830002,9843,0,0,3
PWAK,19.28210068,166.6360016,9843,3,0,3
RORS,24.82670021,125.1449966,9842,5,0,3
RPMD,7.125520229,125.6460037,9842,6,6,3
ROAH,26.19580078,127.6460037,9840,7,21,3
AYGA,-6.081689835,145.3919983,9383,2,2,3
NCMR,-19.84250069,-157.7030029,9180,0,0,2
RPLI,18.17810059,120.5319977,9120,4,4,3
PHDH,21.5795002,-158.1970062,9007,3,0,3
RPLB,14.79440022,120.2710037,9003,8,0,3
ROTM,26.27429962,127.7559967,9000,7,0,3
PJON,16.72859955,-169.5339966,9000,0,0,3
RJAW,24.7840004,141.322998,8700,5,0,3
PGSN,15.11900043,145.7290039,8700,6,8,3
YHID,-10.58640003,142.2899933,8609,3,0,3
PGWT,14.99919987,145.6190033,8600,3,0,3
RPMZ,6.922420025,122.0599976,8560,4,3,3
RCSS,25.06940079,121.552002,8547,13,14,3
RPVP,9.742119789,118.7590027,8530,5,4,3
RPUF,14.98649979,120.4929962,8433,2,0,3
WION,3.908710003,108.3880005,8410,2,0,3
RPML,8.41561985,124.6110001,8050,3,4,3
RCSQ,22.70019913,120.4820023,8012,2,0,3
AYNZ,-6.569829941,146.7259979,8004,6,2,3
RCFN,22.75499916,121.1019974,7999,3,2,3
NTTB,-16.44440079,-151.7510071,7921,3,0,3
RPVG,11.03549957,125.7419968,7919,0,0,3
PKMJ,7.064760208,171.2720032,7897,3,5,3
RCDC,22.67239952,120.461998,7828,3,0,3
UM-0001,28.20939636,-177.3309021,7800,0,0,3
PHNG,21.45050049,-157.7680054,7771,9,0,3
RPLS,14.49540043,120.9039993,7769,1,0,3
PKMA,11.34070015,162.3280029,7700,1,0,3
NIUE,-19.07903099,-169.9255981,7660,3,0,3
NCRG,-21.20269966,-159.8059998,7638,5,10,3
PHMK,21.1529007,-157.095993,7612,7,8,3
NCPY,-9.014369965,-158.0324097,7530,0,0,2
RPLP,13.15750027,123.7350006,7480,4,4,3
AGGH,-9.42800045,160.0549927,7218,4,10,3
PTRO,7.367650032,134.5440063,7200,2,10,3
RPVK,11.67940044,122.3759995,7175,3,5,3
ANYN,-0.547457993,166.9190063,7054,3,0,3
RPVA,11.2276001,125.0279999,7014,3,4,3
ANG,6.906829357,134.1453857,7000,0,0,1
PLCH,1.98616004,-157.3500061,6900,3,2,3
NTTG,-14.95429993,-147.6609955,6890,8,0,3
NLWW,-13.23830032,-176.1990051,6890,5,0,3
RPUY,16.92989922,121.7529984,6890,2,0,3
RPVI,10.83301735,122.4933548,6890,3,4,3
RPMY,8.141659737,125.1169968,6890,0,0,3
PKWA,8.72012043,167.7319946,6668,5,5,3
NGTA,1.381639957,173.1470032,6598,5,0,3
RPVB,10.77639961,123.0149994,6568,2,4,3
NTGJ,-23.07990074,-134.8899994,6562,2,0,3
ROKJ,26.3635006,126.7139969,6562,3,0,3
RJKN,27.83639908,128.8809967,6561,2,0,3
RJKA,28.43059921,129.7129974,6560,5,2,3
ROMY,24.78280067,125.2949982,6560,4,3,3
NVSS,-15.50500011,167.2200012,6523,3,2,3
RPUT,17.64336777,121.7331467,6455,2,3,3
RPME,8.951319695,125.4779968,6450,2,2,3
RPMG,8.60198307,123.3418732,6273,2,2,3
RPMC,7.165239811,124.2099991,6234,3,3,3
PCIS,-2.76812005,-171.7100067,6230,0,0,3
RPVR,11.59770012,122.7519989,6201,2,2,3
AYMO,-2.061889887,147.423996,6136,3,0,2
RPVD,9.333709717,123.3000031,6136,2,2,3
NFNA,-18.04330063,178.5590057,6129,7,0,3
RPVO,11.05799961,124.5650024,6120,0,0,3
RPUH,12.36149979,121.0469971,6024,2,4,3
PTKK,7.461870193,151.8430023,6006,3,3,3
PHBK,22.02280045,-159.7850037,6006,6,0,3
PTPN,6.985099792,158.2089996,6001,3,3,3
PTYA,9.49890995,138.0829926,6000,3,3,3
C23,7,134.2330017,6000,0,0,1
PGRO,14.17430019,145.2429962,6000,4,3,3
RODE,26.7257576,127.7649002,5980,2,0,3
RPUB,16.37509918,120.6200027,5912,1,0,3
RPVT,9.664079666,123.8529968,5837,1,4,3
AYVN,-2.697170019,141.302002,5775,2,0,3
AYMR,-6.363329887,143.2380066,5774,1,2,2
PTSA,5.356979847,162.9579926,5750,3,3,3
RPMO,8.178509712,123.8420029,5720,1,3,3
AYTK,-4.340459824,152.3800049,5643,5,2,3
PG-JAQ,-5.652500153,151.5070038,5627,0,0,0
PHHI,21.48349953,-158.0399933,5604,13,0,3
RPMS,9.755838394,125.4809494,5603,2,3,3
NFTV,-18.58530045,-173.9620056,5593,3,0,3
AYKV,-2.579400063,150.8079987,5592,3,0,3
NTMD,-8.795599937,-140.2290039,5578,2,0,3
RPMB,6.106440067,125.2350006,5577,0,3,3
RCKW,22.04109955,120.7300034,5577,4,0,3
AYGN,-10.3114996,150.3339996,5546,3,2,3
RPMP,7.830731392,123.4611816,5512,2,0,3
AYGR,-8.80453968,148.3090057,5485,1,2,3
AGGE,-6.990745068,155.8866577,5413,0,0,1
AYKA,-8.505820274,151.0809937,5348,0,0,1
RPMQ,6.949369907,126.2730026,5330,0,0,3
AYWK,-3.583830118,143.6690063,5234,5,2,3
AYHK,-5.462170124,150.4049988,5212,2,2,3
FIN,-6.621749878,147.8540497,5200,0,0,3
AYTA,-5.84499979,142.947998,5197,0,0,2
PHMU,20.00130081,-155.6679993,5197,4,0,3
RCFG,26.15979958,119.9580002,5180,2,0,3
AYMD,-5.207079887,145.7890015,5174,5,2,3
AYBK,-5.422319889,154.6730042,5125,2,0,3
RPUV,13.5763998,124.2060013,5118,2,2,3
RPMN,5.046989918,119.7429962,5100,0,0,3
TW-0002,20.70660019,116.7210007,5085,0,0,3
AYWD,-5.643300056,143.8950043,5052,0,0,3
NGFU,-8.524999619,179.1959991,5040,1,0,3
PHNY,20.78560066,-156.951004,5001,6,5,3
MH-UIT,5.909239769,169.6369934,5000,0,0,1
RPLO,10.85809994,121.0690002,5000,0,0,1
PLPA,5.888748169,-162.0778656,5000,0,0,3
RPUL,13.95499992,121.125,4953,4,0,3
NTGA,-17.3526001,-145.5099945,4921,2,0,3
NTTH,-16.68720055,-151.0220032,4921,5,0,3
NTAT,-23.36540031,-149.5240021,4921,2,0,3
RORK,25.94470024,131.3269958,4921,2,0,3
