Name,Country,Archipelago,Latitude,Longitude,Type,Military,Runway_1,Runway_2,Surface,Class
Rota Intl Airport,U.S.,Mariana Islands,14.172008,145.243761,Air taxi,No,7000,0,Asphalt,Class_1
Angaur Airfield,Palau,Caroline Islands,6.9008408,134.1390902,Air taxi,No,7000,0,Gravel,Class_1
Sanga-Sanga Airport,Philippines,Sulu Archipelago,5.0452657,119.7429815,Air taxi,No,6102,0,Concrete,Class_1
Jolo Airport,Philippines,Sulu Archipelago,6.0529725,121.0055339,Air taxi,No,6053,0,Asphalt,Class_1
Peleliu Airfield,Palau,Caroline Islands,6.9983333,134.2327778,Air taxi,No,6000,0,Gravel,Class_1
Con Son Island Airport,Vietnam,Con Dao Islands,8.7302411,106.6284353,Air taxi,No,5924,0,Concrete,Class_1
Rio Tuba Airport,Philippines,Palawan Archipelago,8.549897,117.4361834,Air taxi,No,5400,0,Asphalt,Class_1
San Vicente Airport,Philippines,Palawan Archipelago,10.523067,119.274486,Air taxi,No,5288,0,Concrete,Class_1
Melangguane Airport,Indonesia,Talaud Islands,4.0059174,126.6747569,Air taxi,No,5240,0,Asphalt,Class_1
Matsu Nangan Airport,Taiwan,Matsu Islands,26.1573804,119.956396,Air taxi,No,5180,0,Concrete,Class_1
Tarama Airport,Japan,Ryukyu Islands,24.6538026,124.6757463,Air taxi,No,4921,0,Asphalt/Concrete,Class_1
Kitadaito Airport,Japan,Ryukyu Islands,25.9443517,131.3251797,Air taxi,No,4921,0,Asphalt/Concrete,Class_1
Minamidaito Airport,Japan,Ryukyu Islands,25.8459536,131.2649828,Air taxi,No,4921,0,Asphalt/Concrete,Class_1
Jemaja Island Airport,Indonesia,Riau Islands,2.9629508,105.7548713,Air taxi,No,4692,0,Asphalt,Class_1
Miangas Island Airport,Indonesia,Talaud Islands,5.5616593,126.5811779,Air taxi,No,4593,0,Asphalt,Class_1
Okinoerabu Airport,Japan,Ryukyu Islands,27.4331345,128.7047594,Air taxi,No,4593,0,Asphalt/Concrete,Class_1
Siau Airport,Indonesia,Sangihe Islands,2.6499334,125.4238027,Air taxi,No,4300,0,Asphalt,Class_1
Naha Airport,Indonesia,Sangihe Islands,3.6828309,125.5282824,Air taxi,No,5240,0,Asphalt,Class_0
Matak Island Airport,Indonesia,Riau Islands,3.3437754,106.257049,Air taxi,No,4200,0,Asphalt,Class_0
Basco Airport,Philippines,Batane Islands,20.4491383,121.9760664,Air taxi,No,4081,0,Asphalt,Class_0
Francisco B. Reyes Airport,Philippines,Palawan Archipelago,12.1198332,120.0987196,Air taxi,No,4019,0,Concrete,Class_0
El Nido Airport,Philippines,Palawan Archipelago,11.202154,119.416457,Air taxi,No,4000,0,Concrete,Class_0
Tambelan Island Airport,Indonesia,Tambelan Archipelago,0.9833723,107.5668621,Air taxi,No,3937,0,Asphalt,Class_0
Kikai Airport,Japan,Ryukyu Islands,28.3197961,129.9274656,Air taxi,No,3937,0,Asphalt,Class_0
Yoron Airport,Japan,Ryukyu Islands,27.043197,128.4000982,Air taxi,No,3937,0,Asphalt/Concrete,Class_0
Pamalican Island Airport,Philippines,Palawan Archipelago,11.3563258,120.7291142,Air taxi,No,3937,0,Concrete,Class_0
Matsu Beigan Airport,Taiwan,Matsu Islands,26.22436,120.001,Air taxi,No,3773,0,Concrete,Class_0
Lanyu Airport,Taiwan,Orchid Island,22.027815,121.5357,Air taxi,No,3684,0,Paved,Class_0
Cesar Lim Rodriguez Airport,Philippines,Palawan Archipelago,11.0503019,119.5193196,Air taxi,No,3610,0,Concrete,Class_0
Itbayat Airport,Philippines,Batane Islands,20.7236765,121.8097656,Air taxi,No,3500,0,Concrete,Class_0
Lyudao Airport,Taiwan,Green Island,22.67236,121.4668,Air taxi,No,3255,0,Asphalt,Class_0
Yonaguni Airport,Japan,Ryukyu Islands,24.4659435,122.9797617,Air taxi,No,3154,0,Asphalt/Concrete,Class_0
Ulithi Airport,Micronesia,Caroline Islands,10.0199796,139.7896099,Air taxi,No,3000,0,Concrete,Class_0
Cuyo Island Airfield,Philippines,Palawan Archipelago,10.8603254,121.0703712,Air taxi,No,2840,0,Gravel,Class_0
Qimei Airport (CMJ),Taiwan,Pescadore Islands,23.2117096,119.417887,Air taxi,No,2766,0,Concrete,Class_0
Wangan Airport,Taiwan,Pescadore Islands,23.3673316,119.5024108,Air taxi,No,2723,0,Asphalt,Class_0
Hateruma Airport,Japan,Ryukyu Islands,24.0602304,123.8045109,Air taxi,No,2625,0,Asphalt/Concrete,Class_0
Aguni Airport,Japan,Ryukyu Islands,26.5928022,127.2393831,Air taxi,No,2625,0,Asphalt/Concrete,Class_0
Kerama Airport,Japan,Ryukyu Islands,26.1690555,127.2936611,Air taxi,No,2625,0,Asphalt/Concrete,Class_0
Calayan Airport,Philippines,Babuyan Islands,19.2581825,121.4873351,Air taxi,No,2600,0,Concrete,Class_0
Guam Intl Airport,U.S.,Mariana Islands,13.4852976,144.8008119,Commercial,No,12015,10014,Asphalt/Concrete,Class_3
Naha Airport,Japan,Ryukyu Islands,26.2064033,127.6465422,Commercial,No,9843,8858,Asphalt,Class_3
Saipan Intl Airport,U.S.,Mariana Islands,15.1197429,145.7282789,Commercial,No,8700,7001,Asphalt,Class_3
Kinmen Airport,Taiwan,Kinmen Islands,24.42905,118.3596,Commercial,No,9846,0,Asphalt,Class_2
Miyako Shimojishima Airport,Japan,Ryukyu Islands,24.8274754,125.1474108,Commercial,No,9843,0,Asphalt,Class_2
Puerto Princesa Intl Airport,Philippines,Palawan Archipelago,9.7456564,118.7504322,Commercial,No,8800,0,Asphalt/Concrete,Class_2
Tinian Intl Airport,U.S.,Mariana Islands,14.9992113,145.6248043,Commercial,No,8600,0,Asphalt/Concrete,Class_2
Marshall Islands Intl Airport,Marshall Islands,Marshall Islands,7.0690279,171.2828766,Commercial,No,8270,0,Asphalt,Class_2
Palau Intl Airport,Palau,Caroline Islands,7.364302,134.5329127,Commercial,No,7200,0,Asphalt/Concrete,Class_1
Nauru Intl Airport,Nauru,Nauru Island,-0.5446408,166.9175919,Commercial,No,7054,0,Asphalt,Class_1
Cassidy Intl Airport,Kiribati,Line Islands,1.9856557,-157.3504973,Commercial,No,6900,0,Asphalt,Class_1
Miyako Airport,Japan,Ryukyu Islands,24.7794387,125.2972976,Commercial,No,6562,0,Asphalt/Concrete,Class_1
New Ishigaki Airport,Japan,Ryukyu Islands,24.3957634,124.2455748,Commercial,No,6562,0,Asphalt/Concrete,Class_1
Amami Airport,Japan,Ryukyu Islands,28.4310693,129.7118767,Commercial,No,6562,0,Asphalt/Concrete,Class_1
Tokunoshima Airport,Japan,Ryukyu Islands,27.8322678,128.8829156,Commercial,No,6562,0,Asphalt/Concrete,Class_1
Kumejima Airport,Japan,Ryukyu Islands,26.3649991,126.7170602,Commercial,No,6562,0,Asphalt/Concrete,Class_1
Chuuk International Airport,Micronesia,Caroline Islands,7.4622469,151.8433251,Commercial,No,6006,0,Asphalt,Class_1
Pohnpei Intl Airport,Micronesia,Caroline Islands,6.9853231,158.2090962,Commercial,No,6001,0,Asphalt,Class_1
Yap Intl Airport,Micronesia,Caroline Islands,9.4978375,138.0865812,Commercial,No,6000,0,Asphalt,Class_1
Kosrae Intl Airport,Micronesia,Caroline Islands,5.3529742,162.9562626,Commercial,No,5751,0,Asphalt,Class_1
Iejima Airport,Japan,Ryukyu Islands,26.7236199,127.7855238,General ,No,4921,5000,Asphalt/Concrete,Class_2
Enewetak airstrip,Marshall Islands,Marshall Islands,11.339632,162.3239862,General ,No,7700,0,Asphalt,Class_1
Bugsuk Airfield,Philippines,Palawan Archipelago,8.2296573,117.3306133,General ,No,6940,0,Gravel,Class_1
Abemama Atoll airstrip,Kiribati,Gilbert Islands,0.4907407,173.8310608,General ,No,5200,0,Coral,Class_1
Palmyra Airfield,U.S.,Line Islands,5.888778,-162.077419,General ,No,5000,0,Asphalt,Class_1
