Name,Country,Archipelago,Latitude,Longitude,Type,Runway_1,Runway_2,Surface,Size
Kadena Air Base,U.S.,Ryukyu Islands,26.3556897,127.7678754,Military,"12,100","12,100",Asphalt/Concrete,3
Guam Intl Airport,U.S.,Mariana Islands,13.4852976,144.8008119,Commercial,"12,015","10,014",Asphalt/Concrete,3
Andersen AFB,U.S.,Mariana Islands,13.588225,144.9202077,Military,"10,527","11,200",Asphalt/Concrete,3
Naha Airport,Japan,Ryukyu Islands,26.2064033,127.6465422,Commercial,"9,843","8,858",Asphalt,3
Saipan Intl Airport,U.S.,Mariana Islands,15.1197429,145.7282789,Commercial,"8,700","7,001",Asphalt,3
Northwest Airfield,U.S.,Mariana Islands,13.62372672,144.8549211,Unimproved,"8,500",8500,Concrete,3
North Airfield,U.S.,Mariana Islands,15.0720444,145.6383694,Unimproved,"8,000",8000,Coral,3
Kinmen Airport,Taiwan,Kinmen Islands,24.42905,118.3596,Commercial,"9,846",0,Asphalt,2
Wake Island Airfield,U.S.,Wake Island,19.2811863,166.6447787,Military,"9,844",0,Asphalt,2
Miyako Shimojishima Airport,Japan,Ryukyu Islands,24.8274754,125.1474108,Commercial,"9,843",0,Asphalt,2
Penghu Airport,Taiwan,Pescadore Islands,23.564109,119.628184,Military,"9,843",0,Concrete,2
Subi Reef Airbase,China,Spratly Islands,10.93270466,114.0770489,Military,"9,800",0,Concrete,2
Fiery Cross Reef Airbase,China,Spratly Islands,9.542635803,112.880172,Military,"9,600",0,Concrete,2
Johnston Atoll Airbase,U.S.,Johnston Atoll,16.7286219,-169.53339,Military,"9,000",0,Asphalt,2
MCAS Futenma,U.S.,Ryukyu Islands,26.2760403,127.7488105,Military,"8,990",0,Asphalt/Concrete,2
Iwo Jima Airport,Japan,Bonin Islands,24.7850482,141.3251709,Military,"8,964",0,Asphalt,2
Mischief Reef Airbase,China,Spratly Islands,9.928158741,115.5086013,Military,"8,900",0,Concrete,2
Yongxing Island Airbase,China,Paracel Islands,16.82906817,112.3386331,Military,"8,858",0,Asphalt/Concrete,2
Puerto Princesa Intl Airport,Philippines,Palawan Archipelago,9.7456564,118.7504322,Commercial,"8,800",0,Asphalt/Concrete,2
Natuna Island Airport,Indonesia,Riau Islands,3.9199561,108.3864367,Military,"8,700",0,Asphalt,2
Tinian Intl Airport,U.S.,Mariana Islands,14.9992113,145.6248043,Commercial,"8,600",0,Asphalt/Concrete,2
Marshall Islands Intl Airport,Marshall Islands,Marshall Islands,7.0690279,171.2828766,Commercial,"8,270",0,Asphalt,2
Canton Island Airbase,Kiribati,Phoenix Islands,-2.769673,-171.702301,Military,"7,900",0,Asphalt,2
Henderson Firld,U.S.,Midway Island,28.2020857,-177.380372,Military,"7,800",0,Asphalt,2
Iejima Airport,Japan,Ryukyu Islands,26.7236199,127.7855238,General ,"4,921","5,000",Asphalt/Concrete,2
Enewetak airstrip,Marshall Islands,Marshall Islands,11.339632,162.3239862,General ,"7,700",0,Asphalt,1
Palau Intl Airport,Palau,Caroline Islands,7.364302,134.5329127,Commercial,"7,200",0,Asphalt/Concrete,1
Nauru Intl Airport,Nauru,Nauru Island,-0.5446408,166.9175919,Commercial,"7,054",0,Asphalt,1
Rota Intl Airport,U.S.,Mariana Islands,14.172008,145.243761,Air taxi,"7,000",0,Asphalt,1
